"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"2","Buffalo Bills (BUF)","4","3","1","2","1","0","0","1","19.0","19.0","55.2%"
"3","New England Patriots (NE)","9","0","0","0","0","0","0","1","16.0","16.0","5.8%"
"4","Minnesota Vikings (MIN)","3","2","1","0","0","0","0","1","13.0","13.0","76.7%"
"5","Arizona Cardinals (ARI)","3","0","1","1","0","0","0","1","12.0","12.0","9.7%"
"6","Jacksonville Jaguars (JAC)","1","3","0","0","0","0","0","1","11.0","11.0","6.0%"
"7","Houston Texans (HOU)","0","5","0","1","0","0","0","1","10.0","10.0","72.1%"
"8","Miami Dolphins (MIA)","4","1","1","2","0","0","0","1","9.0","9.0","47.0%"
"9","Carolina Panthers (CAR)","2","2","1","2","0","0","0","1","9.0","9.0","1.0%"
"10","Dallas Cowboys (DAL)","5","1","1","1","0","0","0","1","8.0","8.0","24.7%"
"11","Detroit Lions (DET)","4","2","0","0","0","0","0","1","8.0","8.0","75.1%"
"12","Los Angeles Chargers (LAC)","7","0","0","1","0","0","0","1","8.0","8.0","51.5%"
"13","New Orleans Saints (NO)","3","1","0","2","0","0","0","1","8.0","8.0","25.7%"
"14","Los Angeles Rams (LAR)","3","1","1","1","0","0","0","1","7.0","7.0","13.2%"
"15","Washington Commanders (WAS)","3","1","1","1","0","0","0","1","6.0","6.0","48.8%"
"16","Indianapolis Colts (IND)","2","2","0","0","0","0","0","1","6.0","6.0","8.1%"
"17","Kansas City Chiefs (KC)","2","0","0","0","0","0","0","1","5.0","5.0","87.9%"
"18","Denver Broncos (DEN)","4","0","0","0","0","0","0","1","5.0","5.0","74.4%"
"19","Tampa Bay Buccaneers (TB)","3","0","1","1","0","0","0","1","5.0","5.0","36.1%"
"20","Pittsburgh Steelers (PIT)","3","0","1","0","0","0","0","1","5.0","5.0","87.9%"
"21","Baltimore Ravens (BAL)","3","0","1","2","0","0","0","1","4.0","4.0","73.2%"
"22","New York Giants (NYG)","1","0","1","1","0","0","0","1","4.0","4.0","19.3%"
"23","Chicago Bears (CHI)","1","1","0","0","0","0","0","1","4.0","4.0","51.7%"
"24","San Francisco 49ers (SF)","2","0","0","0","0","0","0","1","3.0","3.0","81.1%"
"25","Atlanta Falcons (ATL)","0","0","0","0","0","0","0","1","1.0","1.0","14.8%"
"26","New York Jets (NYJ)","1","0","0","1","0","0","0","1","0.0","0.0","70.6%"
"27","Las Vegas Raiders (LV)","0","0","0","0","0","0","0","0","0","0","3.3%"
"28","Cleveland Browns (CLE)","0","0","0","0","0","0","0","0","0","0","34.4%"
"29","Seattle Seahawks (SEA)","0","0","0","0","0","0","0","0","0","0","11.1%"
"30","Green Bay Packers (GB)","0","0","0","0","0","0","0","0","0","0","35.9%"
"31","Tennessee Titans (TEN)","0","0","0","0","0","0","0","1","0.0","0.0","10.8%"
"32","Cincinnati Bengals (CIN)","0","0","0","0","0","0","0","1","-4.0","-4.0","20.4%"
""
""
"1","Houston Texans (HOU)","5","1","1","2","1","0","0","1","19.0","19.0","72.1%"
"2","Denver Broncos (DEN)","4","1","0","0","0","0","0","1","13.0","13.0","74.4%"
"3","Minnesota Vikings (MIN)","5","1","0","0","0","0","0","1","11.0","11.0","76.7%"
"4","Detroit Lions (DET)","1","1","0","0","0","0","0","1","10.0","10.0","75.1%"
"5","Pittsburgh Steelers (PIT)","2","1","2","2","0","0","0","1","9.0","9.0","87.9%"
"6","Los Angeles Rams (LAR)","3","1","1","2","0","0","0","1","9.0","9.0","13.2%"
"7","Baltimore Ravens (BAL)","4","1","0","0","0","0","0","1","7.0","7.0","73.2%"
"8","San Francisco 49ers (SF)","4","1","0","0","0","0","0","1","7.0","7.0","81.1%"
"9","Green Bay Packers (GB)","3","0","0","0","0","0","0","1","6.0","6.0","35.9%"
"10","Philadelphia Eagles (PHI)","3","1","0","0","0","0","0","1","6.0","6.0","64.9%"
"11","Miami Dolphins (MIA)","3","1","0","0","0","0","0","1","6.0","6.0","47.0%"
"12","Buffalo Bills (BUF)","2","2","0","0","0","0","0","1","6.0","6.0","55.2%"
"13","Seattle Seahawks (SEA)","2","1","0","0","0","0","0","1","5.0","5.0","11.1%"
"14","Chicago Bears (CHI)","1","1","0","0","0","0","0","1","4.0","4.0","51.7%"
"15","Tennessee Titans (TEN)","2","0","1","1","0","0","0","1","4.0","4.0","10.8%"
"16","New Orleans Saints (NO)","3","0","0","0","0","0","0","1","4.0","4.0","25.7%"
"17","New York Jets (NYJ)","2","0","1","1","0","0","0","1","3.0","3.0","70.6%"
"18","Cincinnati Bengals (CIN)","2","0","1","1","0","0","0","1","3.0","3.0","20.4%"
"19","Indianapolis Colts (IND)","3","0","0","1","0","0","0","1","3.0","3.0","8.1%"
"20","Los Angeles Chargers (LAC)","3","0","0","0","0","0","0","1","3.0","3.0","51.5%"
"21","Washington Commanders (WAS)","2","0","0","1","0","0","0","1","2.0","2.0","48.8%"
"22","Dallas Cowboys (DAL)","1","1","0","0","0","0","0","1","2.0","2.0","24.7%"
"23","Las Vegas Raiders (LV)","2","0","0","1","0","0","0","1","1.0","1.0","3.3%"
"24","Kansas City Chiefs (KC)","0","1","0","0","0","0","0","1","1.0","1.0","87.9%"
"25","Cleveland Browns (CLE)","1","1","1","2","0","0","0","1","1.0","1.0","34.4%"
"26","New York Giants (NYG)","0","0","0","0","0","0","0","0","0","0","19.3%"
"27","Tampa Bay Buccaneers (TB)","0","0","0","0","0","0","0","0","0","0","36.1%"
"28","Carolina Panthers (CAR)","0","0","0","0","0","0","0","0","0","0","1.0%"
"29","Arizona Cardinals (ARI)","0","0","0","0","0","0","0","0","0","0","9.7%"
"30","New England Patriots (NE)","0","0","0","0","0","0","0","1","-1.0","-1.0","5.8%"
"31","Atlanta Falcons (ATL)","1","0","0","1","0","0","0","1","-3.0","-3.0","14.8%"
"32","Jacksonville Jaguars (JAC)","0","0","0","0","0","0","0","1","-4.0","-4.0","6.0%"
""
""
