"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"89","Jakob Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"90","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"92","Jonathan Ward (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"94","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Keaton Mitchell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.4%"
"96","Xazavian Valladay (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"98","Evan Hull (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"99","Scott Matlock (LAC)","0","0","0","0","0","0","1","1","7","7.0","0","0","1","0.0","0.0","0.2%"
"100","Jabari Small (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Kendre Miller (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.4%"
"102","Brittain Brown (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Troy Hairston II (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"105","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Chris Collier (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"108","Jacob Kibodi (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Louis Rees-Zammit (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Blake Watson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Michael Wiley (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Kimani Vidal (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.4%"
"114","Jawhar Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Sione Vaki (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"116","Ian Wheeler (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Terrell Jennings (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","British Brooks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"119","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"120","Isaiah Davis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"121","Ellis Merriweather (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Owen Wright (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Rasheen Ali (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"124","Chris Brooks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"125","Jordan Mims (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"126","Deneric Prince (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Zavier Scott (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Robert Burns (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Dillon Johnson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Cody Schrader (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Dylan Laube (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.2%"
"132","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.2%"
"133","Israel Abanikanda (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"134","Kendall Milton (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Tyrion Davis-Price (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Deuce Vaughn (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"137","Tyler Goodson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.8%"
"138","Dameon Pierce (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.9%"
"139","Will Shipley (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"140","George Holani (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","D.J. Williams (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Audric Estime (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.0%"
"143","Blake Corum (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.8%"
"144","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Keilan Robinson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Jase McClellan (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"147","Elijah Mitchell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"148","Chris Evans (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Khalil Herbert (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.6%"
"150","Michael Carter (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"151","Hassan Haskins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"152","Velus Jones Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"153","Isiah Pacheco (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.7%"
"154","Jaylen Warren (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.0%"
"155","Malik Davis (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Pierre Strong Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"157","Sincere McCormick (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Keaontay Ingram (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","MarShawn Lloyd (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.6%"
"160","Kevin Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Adam Prentice (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"162","Gary Brightwell (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"163","Avery Williams (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"164","Kene Nwangwu (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Nick Bellore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"166","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Austin Ekeler (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.4%"
"177","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Joe Mixon (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.1%"
"179","Christian McCaffrey (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.7%"
"180","Dalvin Cook (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"181","C.J. Ham (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"182","Jeff Wilson Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"183","Mike Boone (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Nyheim Hines (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"185","Myles Gaskin (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"186","Nick Chubb (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.3%"
"187","Chase Edmonds (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"188","Ameer Abdullah (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","25.9%"
"189","Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Raheem Mostert (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.8%"
"193","Carson Steele (KC)","2","6","3.0","3","0","0","1","3","0","0.0","0","1","1","-1.4","-1.4","3.0%"
"194","Isaac Guerendo (SF)","1","0","0.0","0","0","0","0","0","0","0","0","1","1","-2.0","-2.0","5.9%"
"195","Tyler Badie (DEN)","1","0","0.0","0","0","0","2","2","-4","-2.0","0","1","1","-2.4","-2.4","0.7%"
""
""
"1","Tank Bigsby (JAC)","13","101","7.8","65","1","2","1","1","28","28.0","0","0","1","24.9","24.9","38.4%"
"2","D'Andre Swift (CHI)","21","73","3.5","18","0","1","2","2","47","23.5","0","0","1","18.0","18.0","92.9%"
"3","Kareem Hunt (KC)","27","102","3.8","8","0","1","1","1","15","15.0","0","0","1","17.7","17.7","88.5%"
"4","Rico Dowdle (DAL)","20","87","4.4","13","0","0","2","2","27","13.5","1","0","1","17.4","17.4","66.5%"
"5","James Cook (BUF)","20","82","4.1","12","0","1","2","3","17","8.5","0","0","1","15.9","15.9","98.3%"
"6","Derrick Henry (BAL)","15","92","6.1","51","1","1","1","1","4","4.0","0","0","1","15.6","15.6","99.7%"
"7","Josh Jacobs (GB)","19","73","3.8","13","0","1","1","1","21","21.0","0","0","1","15.4","15.4","98.6%"
"8","Rhamondre Stevenson (NE)","12","89","7.4","33","1","1","4","4","3","0.8","0","0","1","15.2","15.2","92.0%"
"9","Roschon Johnson (CHI)","10","25","2.5","8","0","2","0","0","0","0","0","0","1","14.5","14.5","21.4%"
"10","Kyren Williams (LAR)","22","102","4.6","30","1","1","1","1","3","3.0","0","1","1","14.5","14.5","99.6%"
"11","Brian Robinson Jr. (WAS)","7","18","2.6","10","0","2","0","0","0","0","0","0","1","13.8","13.8","91.2%"
"12","Chuba Hubbard (CAR)","13","97","7.5","38","1","1","4","4","-2","-0.5","0","1","1","13.5","13.5","90.9%"
"13","Chase Brown (CIN)","12","46","3.8","16","0","0","3","3","8","2.7","1","0","1","13.4","13.4","77.7%"
"14","Tyrone Tracy Jr. (NYG)","18","129","7.2","27","2","0","1","2","1","1.0","0","0","1","13.0","13.0","81.9%"
"15","Trey Sermon (IND)","10","38","3.8","17","0","1","6","6","25","4.2","0","0","1","12.3","12.3","6.7%"
"16","James Conner (ARI)","19","86","4.5","14","0","0","2","3","14","7.0","0","0","1","12.0","12.0","95.8%"
"17","Javonte Williams (DEN)","13","61","4.7","17","0","0","5","6","50","10.0","0","0","1","11.1","11.1","85.3%"
"18","Ameer Abdullah (LV)","5","42","8.4","40","1","1","3","3","9","3.0","0","0","1","11.1","11.1","25.9%"
"19","Cam Akers (MIN)","9","42","4.7","15","0","1","2","3","5","2.5","0","0","1","10.7","10.7","27.0%"
"20","Jeremy McNichols (WAS)","7","44","6.3","28","1","1","0","0","0","0","0","0","1","10.4","10.4","1.1%"
"21","Raheem Mostert (MIA)","19","80","4.2","18","0","0","2","2","18","9.0","0","0","1","9.8","9.8","65.8%"
"22","Austin Ekeler (WAS)","6","67","11.2","50","1","0","2","2","30","15.0","0","0","1","9.7","9.7","81.4%"
"23","Dare Ogunbowale (HOU)","15","30","2.0","7","0","0","6","7","57","9.5","0","0","1","8.7","8.7","0.9%"
"24","Jaylen Wright (MIA)","13","86","6.6","17","0","0","0","0","0","0","0","0","1","8.6","8.6","9.0%"
"25","Jaleel McLaughlin (DEN)","6","22","3.7","13","0","0","3","4","3","1.0","1","0","1","8.5","8.5","15.4%"
"26","Alexander Mattison (LV)","15","38","2.5","8","0","0","2","3","23","11.5","0","0","1","8.1","8.1","50.7%"
"27","Jordan Mason (SF)","14","89","6.4","34","2","0","1","1","9","9.0","0","1","1","7.8","7.8","69.5%"
"28","Bijan Robinson (ATL)","12","61","5.1","28","1","0","3","3","16","5.3","0","0","1","7.7","7.7","99.8%"
"29","Najee Harris (PIT)","14","42","3.0","6","0","0","2","2","35","17.5","0","0","1","7.7","7.7","91.8%"
"30","Kenneth Walker III (SEA)","5","19","3.8","7","0","0","7","8","57","8.1","0","0","1","7.6","7.6","97.2%"
"31","C.J. Ham (MIN)","2","10","5.0","8","0","1","0","0","0","0","0","0","1","7.0","7.0","0.1%"
"32","Rachaad White (TB)","10","72","7.2","56","1","0","3","3","-6","-2.0","0","0","1","6.6","6.6","92.8%"
"33","Alvin Kamara (NO)","11","26","2.4","9","0","0","6","8","40","6.7","0","0","1","6.6","6.6","99.2%"
"34","Alec Ingold (MIA)","1","3","3.0","3","0","1","0","0","0","0","0","0","1","6.3","6.3","0.1%"
"35","D'Onta Foreman (CLE)","9","44","4.9","25","1","0","1","1","16","16.0","0","0","1","6.0","6.0","5.6%"
"36","Travis Etienne Jr. (JAC)","6","17","2.8","4","0","0","6","7","43","7.2","0","0","1","6.0","6.0","85.6%"
"37","Tyler Goodson (IND)","5","26","5.2","17","0","0","3","3","31","10.3","0","0","1","5.7","5.7","1.8%"
"38","Antonio Gibson (NE)","6","52","8.7","24","1","0","1","1","4","4.0","0","0","1","5.6","5.6","20.5%"
"39","Aaron Jones (MIN)","7","29","4.1","9","0","0","1","1","24","24.0","0","0","1","5.3","5.3","96.6%"
"40","Zack Moss (CIN)","9","24","2.7","8","0","0","3","4","28","9.3","0","0","1","5.2","5.2","54.0%"
"41","Jerome Ford (CLE)","9","47","5.2","16","0","0","3","3","2","0.7","0","0","1","4.9","4.9","50.8%"
"42","Ty Chandler (MIN)","14","30","2.1","5","0","0","2","2","9","4.5","0","0","1","3.9","3.9","23.7%"
"43","Breece Hall (NYJ)","9","23","2.6","10","0","0","3","4","14","4.7","0","0","1","3.7","3.7","99.6%"
"44","Bucky Irving (TB)","9","44","4.9","16","0","0","2","2","12","6.0","0","1","1","3.6","3.6","76.2%"
"45","Eric Gray (NYG)","4","4","1.0","2","0","0","3","4","50","16.7","0","1","1","3.4","3.4","1.2%"
"46","Miles Sanders (CAR)","2","6","3.0","4","0","0","2","3","27","13.5","0","0","1","3.3","3.3","3.4%"
"47","Blake Corum (LAR)","5","25","5.0","12","0","0","1","1","8","8.0","0","0","1","3.3","3.3","16.8%"
"48","Zach Charbonnet (SEA)","2","11","5.5","9","0","0","3","5","19","6.3","0","0","1","3.0","3.0","60.3%"
"49","Braelon Allen (NYJ)","5","13","2.6","7","0","0","1","2","15","15.0","0","0","1","2.8","2.8","26.4%"
"50","Tyler Allgeier (ATL)","6","12","2.0","8","0","0","3","3","13","4.3","0","0","1","2.5","2.5","39.5%"
"51","Justice Hill (BAL)","5","17","3.4","7","0","0","1","2","8","8.0","0","0","1","2.5","2.5","24.5%"
"52","Samaje Perine (KC)","0","0","0","0","0","0","1","2","24","24.0","0","0","1","2.4","2.4","17.4%"
"53","Hunter Luepke (DAL)","2","6","3.0","4","0","0","1","1","18","18.0","0","0","1","2.4","2.4","0.1%"
"54","Isaac Guerendo (SF)","5","22","4.4","5","0","0","0","0","0","0","0","0","1","2.2","2.2","5.9%"
"55","Ezekiel Elliott (DAL)","6","17","2.8","5","0","0","0","1","0","0","0","0","1","1.7","1.7","36.5%"
"56","De'Von Achane (MIA)","3","18","6.0","12","0","0","1","1","-1","-1.0","0","0","1","1.7","1.7","99.5%"
"57","Ty Johnson (BUF)","3","15","5.0","19","0","0","0","0","0","0","0","0","1","1.5","1.5","1.7%"
"58","Emanuel Wilson (GB)","6","24","4.0","7","0","0","1","1","-9","-9.0","0","0","1","1.5","1.5","3.8%"
"59","Aaron Shampklin (PIT)","4","14","3.5","5","0","0","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"60","Myles Gaskin (MIN)","2","2","1.0","2","0","0","1","1","11","11.0","0","0","1","1.3","1.3","0.0%"
"61","Carson Steele (KC)","5","12","2.4","8","0","0","0","0","0","0","0","0","1","1.2","1.2","3.0%"
"62","D'Ernest Johnson (JAC)","1","1","1.0","1","0","0","2","3","9","4.5","0","0","1","1.0","1.0","2.4%"
"63","Jamaal Williams (NO)","2","9","4.5","9","0","0","0","0","0","0","0","0","1","0.9","0.9","3.8%"
"64","Jonathan Ward (PIT)","2","9","4.5","7","0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"65","Michael Burton (DEN)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","0.5","0.5","0.0%"
"66","Ray Davis (BUF)","0","0","0","0","0","0","1","2","4","4.0","0","0","1","0.4","0.4","20.8%"
"67","Pierre Strong Jr. (CLE)","1","2","2.0","2","0","0","0","1","0","0","0","0","1","0.2","0.2","0.3%"
"68","Darrynton Evans (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"69","AJ Dillon (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"70","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"71","Clyde Edwards-Helaire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.7%"
"72","J.K. Dobbins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.4%"
"73","Jonathan Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.7%"
"74","Joshua Kelley (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","DeeJay Dallas (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"77","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"79","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"80","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"82","Andrew Beck (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"83","Tony Pollard (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.1%"
"84","JaMycal Hasty (NE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"85","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"87","Zamir White (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.3%"
"88","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"89","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Trey Benson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.9%"
"91","Keaton Mitchell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.4%"
"92","Xazavian Valladay (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"94","Evan Hull (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"95","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Scott Matlock (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"97","Tyjae Spears (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50.7%"
"98","Brittain Brown (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Jabari Small (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"101","Troy Hairston II (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Tyreik McAllister (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Emari Demercado (ARI)","0","0","0","0","0","0","1","1","0","0.0","0","0","1","0.0","0.0","0.9%"
"104","Chris Collier (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"105","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"106","Jacob Kibodi (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"108","Louis Rees-Zammit (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Blake Watson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"110","Michael Wiley (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Kimani Vidal (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.4%"
"112","Jawhar Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Sione Vaki (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"114","Ian Wheeler (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Terrell Jennings (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","British Brooks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"118","Isaiah Davis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"119","Ellis Merriweather (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Owen Wright (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Rasheen Ali (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"122","Chris Brooks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"123","Jordan Mims (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"124","Deneric Prince (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Zavier Scott (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Robert Burns (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Dillon Johnson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Cody Schrader (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Dylan Laube (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.2%"
"130","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.2%"
"131","Kendre Miller (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.4%"
"132","Deuce Vaughn (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"133","Tyrion Davis-Price (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Jahmyr Gibbs (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.8%"
"135","Kendall Milton (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Dameon Pierce (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.9%"
"137","Will Shipley (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"138","Audric Estime (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.0%"
"139","George Holani (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","MarShawn Lloyd (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.6%"
"141","D.J. Williams (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Keilan Robinson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Jase McClellan (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"144","Elijah Mitchell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"145","Chris Evans (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
