"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Detroit Lions (DET)","4","3","2","2","0","0","0","1","18.0","18.0","75.1%"
"2","Tampa Bay Buccaneers (TB)","5","2","1","2","1","0","0","1","17.0","17.0","36.1%"
"3","Pittsburgh Steelers (PIT)","1","1","2","2","0","0","0","1","13.0","13.0","87.9%"
"4","Houston Texans (HOU)","4","2","2","2","0","0","0","1","12.0","12.0","72.1%"
"5","Cleveland Browns (CLE)","1","0","0","0","0","0","1","1","10.0","10.0","34.4%"
"6","Green Bay Packers (GB)","0","0","3","2","0","0","0","1","10.0","10.0","35.9%"
"7","New Orleans Saints (NO)","1","3","0","1","0","0","1","1","9.0","9.0","25.7%"
"8","Philadelphia Eagles (PHI)","5","0","0","0","0","0","0","1","9.0","9.0","64.9%"
"9","Chicago Bears (CHI)","4","1","1","1","0","0","0","1","9.0","9.0","51.7%"
"10","Cincinnati Bengals (CIN)","2","1","0","0","0","0","0","1","8.0","8.0","20.4%"
"11","San Francisco 49ers (SF)","1","2","1","1","0","0","0","1","7.0","7.0","81.1%"
"12","Los Angeles Chargers (LAC)","2","1","1","1","0","0","0","1","7.0","7.0","51.5%"
"13","New York Giants (NYG)","4","0","1","2","0","0","0","1","7.0","7.0","19.3%"
"14","Buffalo Bills (BUF)","3","1","0","1","0","0","0","1","6.0","6.0","55.2%"
"15","Atlanta Falcons (ATL)","0","2","0","2","0","0","0","1","5.0","5.0","14.8%"
"16","Baltimore Ravens (BAL)","3","0","0","0","0","0","0","1","5.0","5.0","73.2%"
"17","Denver Broncos (DEN)","3","0","0","1","0","0","0","1","3.0","3.0","74.4%"
"18","Tennessee Titans (TEN)","0","1","0","0","0","0","0","1","3.0","3.0","10.8%"
"19","Indianapolis Colts (IND)","0","1","0","1","0","0","0","1","3.0","3.0","8.1%"
"20","Jacksonville Jaguars (JAC)","3","1","0","1","0","0","0","1","3.0","3.0","6.0%"
"21","Washington Commanders (WAS)","2","1","0","0","0","0","0","1","3.0","3.0","48.8%"
"22","Seattle Seahawks (SEA)","0","0","0","0","0","0","1","1","2.0","2.0","11.1%"
"23","New York Jets (NYJ)","2","0","0","1","0","0","0","1","2.0","2.0","70.6%"
"24","Las Vegas Raiders (LV)","3","0","0","0","0","0","0","1","2.0","2.0","3.3%"
"25","Arizona Cardinals (ARI)","0","1","0","0","0","0","0","1","1.0","1.0","9.7%"
"26","New England Patriots (NE)","2","1","0","0","0","0","0","1","0.0","0.0","5.8%"
"27","Minnesota Vikings (MIN)","0","0","0","0","0","0","0","0","0","0","76.7%"
"28","Kansas City Chiefs (KC)","0","0","0","0","0","0","0","0","0","0","87.9%"
"29","Los Angeles Rams (LAR)","0","0","0","0","0","0","0","0","0","0","13.2%"
"30","Miami Dolphins (MIA)","0","0","0","0","0","0","0","0","0","0","47.0%"
"31","Dallas Cowboys (DAL)","3","0","0","1","0","0","0","1","-1.0","-1.0","24.7%"
"32","Carolina Panthers (CAR)","0","0","1","1","0","0","0","1","-2.0","-2.0","1.0%"
""
""
