"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Lamar Jackson (BAL)","17","22","77.3","281","12.8","5","0","2","9","52","0","1","1","34.4","34.4","99.8%"
"2","Baker Mayfield (TB)","31","45","68.9","370","8.2","3","2","3","5","22","0","0","1","29.0","29.0","84.1%"
"3","Russell Wilson (PIT)","16","29","55.2","264","9.1","2","0","1","3","3","1","0","1","24.9","24.9","38.3%"
"4","Jalen Hurts (PHI)","10","14","71.4","114","8.1","1","0","4","7","22","2","0","1","22.8","22.8","99.7%"
"5","Kyler Murray (ARI)","14","26","53.8","145","5.6","1","1","0","6","64","1","0","1","21.2","21.2","94.5%"
"6","Josh Allen (BUF)","21","33","63.6","323","9.8","2","0","1","3","1","0","0","1","21.0","21.0","99.7%"
"7","Drake Maye (NE)","26","37","70.3","276","7.5","2","0","2","3","18","0","0","1","20.8","20.8","21.5%"
"8","Brock Purdy (SF)","17","31","54.8","212","6.8","0","3","1","8","27","2","0","1","20.2","20.2","91.5%"
"9","Marcus Mariota (WAS)","18","23","78.3","205","8.9","2","0","1","11","34","0","0","1","19.6","19.6","0.9%"
"10","Jared Goff (DET)","22","25","88.0","280","11.2","2","0","4","2","-4","0","0","1","18.8","18.8","79.5%"
"11","Jordan Love (GB)","24","33","72.7","220","6.7","3","2","3","0","0","0","0","1","18.8","18.8","88.1%"
"12","Geno Smith (SEA)","18","28","64.3","207","7.4","2","0","1","4","15","0","0","1","17.8","17.8","59.2%"
"13","Sam Darnold (MIN)","22","27","81.5","259","9.6","1","1","4","4","39","0","0","1","17.3","17.3","66.1%"
"14","Aaron Rodgers (NYJ)","24","39","61.5","276","7.1","1","2","1","0","0","0","0","1","15.0","15.0","45.1%"
"15","Trevor Lawrence (JAC)","15","20","75.0","193","9.7","1","0","0","2","13","0","0","1","15.0","15.0","32.3%"
"16","Joe Burrow (CIN)","15","25","60.0","181","7.2","2","0","3","3","-3","0","0","1","14.9","14.9","97.3%"
