"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jalen Hurts (PHI)","16","20","80.0","236","11.8","1","0","0","10","37","3","0","1","35.1","35.1","99.7%"
"2","Bo Nix (DEN)","28","37","75.7","284","7.7","3","0","2","5","4","1","0","1","29.8","29.8","64.4%"
"3","Kirk Cousins (ATL)","23","29","79.3","276","9.5","4","0","2","3","16","0","0","1","28.6","28.6","63.9%"
"4","Brock Purdy (SF)","18","26","69.2","260","10.0","1","0","2","8","56","1","0","1","26.0","26.0","91.5%"
"5","Matthew Stafford (LAR)","25","34","73.5","279","8.2","4","1","0","3","-4","0","0","1","25.8","25.8","51.3%"
"6","Trevor Lawrence (JAC)","21","32","65.6","308","9.6","2","1","1","4","10","1","1","1","24.3","24.3","32.3%"
"7","Baker Mayfield (TB)","37","50","74.0","330","6.6","3","2","0","3","11","0","0","1","24.3","24.3","84.1%"
"8","Lamar Jackson (BAL)","23","38","60.5","289","7.6","2","0","3","8","46","0","0","1","24.2","24.2","99.8%"
"9","Justin Herbert (LAC)","20","32","62.5","279","8.7","2","0","3","4","49","0","0","1","24.1","24.1","64.8%"
"10","Jameis Winston (CLE)","27","41","65.9","334","8.1","3","0","2","2","2","0","1","1","23.6","23.6","13.1%"
"11","Kyler Murray (ARI)","26","36","72.2","307","8.5","2","0","0","5","19","0","0","1","22.2","22.2","94.5%"
"12","Jayden Daniels (WAS)","21","38","55.3","326","8.6","1","0","2","8","52","0","0","1","22.2","22.2","98.1%"
"13","Mason Rudolph (TEN)","22","38","57.9","266","7.0","1","2","1","4","29","1","0","1","21.5","21.5","0.7%"
"14","Josh Allen (BUF)","24","34","70.6","283","8.3","2","1","1","7","25","0","0","1","20.8","20.8","99.7%"
"15","Patrick Mahomes II (KC)","27","38","71.1","262","6.9","2","1","1","6","17","0","0","1","19.2","19.2","97.8%"
"16","Sam Darnold (MIN)","18","25","72.0","240","9.6","2","0","3","3","6","0","0","1","18.2","18.2","66.1%"
"17","Aaron Rodgers (NYJ)","17","28","60.7","233","8.3","2","0","1","0","0","0","0","1","17.3","17.3","45.1%"
"18","Dak Prescott (DAL)","25","38","65.8","243","6.4","2","2","2","1","-1","0","0","1","15.6","15.6","61.0%"
"19","Bryce Young (CAR)","24","37","64.9","224","6.1","2","2","2","3","6","0","0","1","15.6","15.6","5.2%"
"20","Jared Goff (DET)","12","15","80.0","85","5.7","3","0","4","1","1","0","0","1","15.5","15.5","79.5%"
"21","Gardner Minshew II (LV)","24","30","80.0","209","7.0","2","0","5","2","6","0","1","1","15.0","15.0","5.3%"
"22","Tua Tagovailoa (MIA)","28","38","73.7","234","6.2","1","0","1","3","13","0","0","1","14.7","14.7","62.7%"
"23","Joe Burrow (CIN)","26","37","70.3","234","6.3","1","1","1","3","15","0","0","1","13.9","13.9","97.3%"
"24","Russell Wilson (PIT)","20","28","71.4","278","9.9","1","0","4","3","7","0","1","1","13.8","13.8","38.3%"
"25","Anthony Richardson (IND)","10","32","31.3","175","5.5","1","1","5","6","45","0","1","1","12.5","12.5","62.6%"
"26","C.J. Stroud (HOU)","25","37","67.6","285","7.7","1","0","2","1","-10","0","1","1","12.4","12.4","93.6%"
"27","Drake Maye (NE)","3","6","50.0","23","3.8","0","0","1","3","46","1","0","1","11.5","11.5","21.5%"
"28","Caleb Williams (CHI)","10","24","41.7","131","5.5","0","0","3","9","47","0","1","1","9.9","9.9","51.0%"
"29","Geno Smith (SEA)","21","29","72.4","212","7.3","0","1","1","5","16","0","0","1","9.1","9.1","59.2%"
"30","Malik Willis (GB)","4","5","80.0","56","11.2","1","0","1","4","23","0","0","1","8.5","8.5","2.0%"
"31","Jacoby Brissett (NE)","15","24","62.5","132","5.5","0","0","1","3","11","0","0","1","8.4","8.4","2.4%"
"32","Daniel Jones (FA)","24","38","63.2","264","6.9","0","1","4","3","1","0","1","1","7.7","7.7","14.1%"
"33","Jordan Love (GB)","14","22","63.6","196","8.9","0","1","0","1","-1","0","0","1","6.7","6.7","88.1%"
"34","Spencer Rattler (NO)","12","24","50.0","156","6.5","0","0","3","0","0","0","0","1","6.2","6.2","1.1%"
"35","Jake Haener (NO)","9","17","52.9","122","7.2","0","0","2","2","10","0","0","1","5.9","5.9","0.0%"
"36","Hendon Hooker (DET)","2","3","66.7","6","2.0","0","0","0","0","0","0","0","1","0.2","0.2","0.2%"
"37","John Rhys Plumlee (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Kenny Pickett (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"39","Zach Wilson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"40","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"41","Justin Fields (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.1%"
"42","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
